# CDC channels
# N ring straw roc slot channel
  87  3   3 25  3 10
  88  3   4 25  3  4
  89  3   5 25  3  0
  90  3   6 25  8 21
  91  3   7 25  8 18
  92  3   8 25  8 16
  93  3   9 25  8 12
  94  3  10 25  8  6
  95  3  11 25  8  4
  96  3  12 25  8  0
  97  3  13 27 14 23
  98  3  14 27 14 18
  99  3  15 27 14 14
 100  3  16 27 14 10
 101  3  17 27 14  6
 102  3  18 27 14  2
 103  3  19 27  3 23
 104  3  20 27  3 21
 105  3  21 27  3 18
 106  3  22 27  3 14
 107  3  23 27  3 10
 108  3  24 27  3  6
 109  3  25 27  3  2
 110  3  26 28  3 23
 111  3  27 28  3 21
 112  3  28 28  3 18
 113  3  29 28  3 14
 114  3  30 28  3 10
 115  3  31 28  3  4
 116  3  32 28  3  0
 117  3  33 28 15 21
 118  3  34 28 15 18
 119  3  35 28 15 16
 120  3  36 28 15 12
 121  3  37 28 15  6
 122  3  38 28 15  4
 123  3  39 28 15  0
 124  3  40 26 13 23
 125  3  41 26 13 18
 126  3  42 26 13 14
 127  3  43 26 13 10
 128  3  44 26 13  6
 129  3  45 26 13  2
 130  3  46 26  3 23
 131  3  47 26  3 21
 132  3  48 26  3 18
 133  3  49 26  3 14
 134  3  50 26  3 10
 135  3  51 26  3  6
 136  3  52 26  3  2
 137  3  53 25  3 23
 138  3  54 25  3 21
 139  4   1 25  3 16
 140  4   2 25  3 12
 141  4   3 25  3  8
 142  4   4 25  3  2
 143  4   5 25  8 23
 144  4   6 25  8 22
 145  4   7 25  8 20
 146  4   8 25  8 14
 147  4   9 25  8 10
 148  4  10 25  8  8
 149  4  11 25  8  2
 150  4  12 27 14 22
 151  4  13 27 14 20
 152  4  14 27 14 16
 153  4  15 27 14 12
 154  4  16 27 14  8
 155  4  17 27 14  4
 156  4  18 27 14  0
 157  4  19 27  3 22
 158  4  20 27  3 20
 159  4  21 27  3 16
 160  4  22 27  3 12
 161  4  23 27  3  8
 162  4  24 27  3  4
 163  4  25 27  3  0
 164  4  26 28  3 22
 165  4  27 28  3 20
 166  4  28 28  3 16
 167  4  29 28  3 12
 168  4  30 28  3  8
 169  4  31 28  3  2
 170  4  32 28 15 23
 171  4  33 28 15 22
 172  4  34 28 15 20
 173  4  35 28 15 14
 174  4  36 28 15 10
 175  4  37 28 15  8
 176  4  38 28 15  2
 177  4  39 26 13 22
 178  4  40 26 13 20
 179  4  41 26 13 16
 180  4  42 26 13 12
 181  4  43 26 13  8
 182  4  44 26 13  4
 183  4  45 26 13  0
 184  4  46 26  3 22
 185  4  47 26  3 20
 186  4  48 26  3 16
 187  4  49 26  3 12
 188  4  50 26  3  8
 189  4  51 26  3  4
 190  4  52 26  3  0
 191  4  53 25  3 22
 192  4  54 25  3 20
 193  5   1 25  3 35
 194  5   2 25  3 33
 195  5   3 25  3 29
 196  5   4 25  3 25
 197  5   5 25  8 45
 198  5   6 25  8 41
 199  5   7 25  8 39
 200  5   8 25  8 33
 201  5   9 25  8 31
 202  5  10 25  8 29
 203  5  11 25  8 25
 204  5  12 25 15 21
 205  5  13 25 15 17
 206  5  14 25 15 13
 207  5  15 25 15 11
 208  5  16 25 15  9
 209  5  17 25 15  7
 210  5  18 25 15  3
 211  5  19 27 14 47
 212  5  20 27 14 43
 213  5  21 27 14 39
 214  5  22 27 14 37
 215  5  23 27 14 35
 216  5  24 27 14 33
 217  5  25 27 14 29
 218  5  26 27 14 25
 219  5  27 27  3 45
 220  5  28 27  3 41
 221  5  29 27  3 39
 222  5  30 27  3 35
 223  5  31 27  3 33
 224  5  32 27  3 29
 225  5  33 27  3 25
 226  5  34 28  3 45
 227  5  35 28  3 41
 228  5  36 28  3 39
 229  5  37 28  3 37
 230  5  38 28  3 33
 231  5  39 28  3 31
 232  5  40 28  3 27
 233  5  41 28 15 47
 234  5  42 28 15 43
 235  5  43 28 15 39
 236  5  44 28 15 37
 237  5  45 28 15 35
 238  5  46 28 15 33
 239  5  47 28 15 29
 240  5  48 28 15 25
 241  5  49 26 13 45
 242  5  50 26 13 41
 243  5  51 26 13 39
 244  5  52 26 13 35
 245  5  53 26 13 33
 246  5  54 26 13 29
 247  5  55 26 13 25
 248  5  56 26  7 21
 249  5  57 26  7 17
 250  5  58 26  7 15
 251  5  59 26  7 11
 252  5  60 26  7  9
 253  5  61 26  7  7
 254  5  62 26  7  1
 255  5  63 25  3 47
 256  5  64 25  3 43
 257  5  65 25  3 39
 258  5  66 25  3 37
 259  6   1 25  3 36
 260  6   2 25  3 30
 261  6   3 25  3 31
 262  6   4 25  3 27
 263  6   5 25  8 47
 264  6   6 25  8 43
 265  6   7 25  8 42
 266  6   8 25  8 36
 267  6   9 25  8 32
 268  6  10 25  8 30
 269  6  11 25  8 27
 270  6  12 25 15 23
 271  6  13 25 15 19
 272  6  14 25 15 15
 273  6  15 25 15 14
 274  6  16 25 15 10
 275  6  17 25 15  6
 276  6  18 25 15  5
 277  6  19 25 15  1
 278  6  20 27 14 45
 279  6  21 27 14 41
 280  6  22 27 14 40
 281  6  23 27 14 36
 282  6  24 27 14 30
 283  6  25 27 14 31
 284  6  26 27 14 27
 285  6  27 27  3 47
 286  6  28 27  3 43
 287  6  29 27  3 40
 288  6  30 27  3 36
 289  6  31 27  3 30
 290  6  32 27  3 31
 291  6  33 27  3 27
 292  6  34 28  3 47
 293  6  35 28  3 43
 294  6  36 28  3 42
 295  6  37 28  3 36
 296  6  38 28  3 35
 297  6  39 28  3 30
 298  6  40 28  3 29
 299  6  41 28  3 25
 300  6  42 28 15 45
 301  6  43 28 15 41
 302  6  44 28 15 40
 303  6  45 28 15 34
 304  6  46 28 15 30
 305  6  47 28 15 31
 306  6  48 28 15 27
 307  6  49 26 13 47
 308  6  50 26 13 43
 309  6  51 26 13 40
 310  6  52 26 13 36
 311  6  53 26 13 30
 312  6  54 26 13 31
 313  6  55 26 13 27
 314  6  56 26  7 23
 315  6  57 26  7 19
 316  6  58 26  7 18
 317  6  59 26  7 14
 318  6  60 26  7  8
 319  6  61 26  7  6
 320  6  62 26  7  5
 321  6  63 26  7  3
 322  6  64 25  3 45
 323  6  65 25  3 41
 324  6  66 25  3 40
 325  7   1 25  3 34
 326  7   2 25  3 32
 327  7   3 25  3 28
 328  7   4 25  3 26
 329  7   5 25  3 24
 330  7   6 25  8 46
 331  7   7 25  8 44
 332  7   8 25  8 40
 333  7   9 25  8 38
 334  7  10 25  8 34
 335  7  11 25  8 28
 336  7  12 25  8 26
 337  7  13 25  8 24
 338  7  14 25  8 55
 339  7  15 25 15 22
 340  7  16 25 15 18
 341  7  17 25 15 16
 342  7  18 25 15 12
 343  7  19 25 15  8
 344  7  20 25 15  4
 345  7  21 25 15  2
 346  7  22 25 15  0
 347  7  23 27 10 23
 348  7  24 27 14 46
 349  7  25 27 14 44
 350  7  26 27 14 42
 351  7  27 27 14 38
 352  7  28 27 14 34
 353  7  29 27 14 32
 354  7  30 27 14 28
 355  7  31 27 14 24
 356  7  32 27  3 46
 357  7  33 27  3 44
 358  7  34 27  3 42
 359  7  35 27  3 38
 360  7  36 27  3 34
 361  7  37 27  3 32
 362  7  38 27  3 28
 363  7  39 27  3 26
 364  7  40 27  3 24
 365  7  41 28  3 46
 366  7  42 28  3 44
 367  7  43 28  3 40
 368  7  44 28  3 38
 369  7  45 28  3 34
 370  7  46 28  3 28
 371  7  47 28  3 26
 372  7  48 28  3 24
 373  7  49 28  8 13
 374  7  50 28 15 46
 375  7  51 28 15 44
 376  7  52 28 15 42
 377  7  53 28 15 38
 378  7  54 28 15 36
 379  7  55 28 15 32
 380  7  56 28 15 28
 381  7  57 28 15 26
 382  7  58 28 15 24
 383  7  59 26 13 46
 384  7  60 26 13 44
 385  7  61 26 13 42
 386  7  62 26 13 38
 387  7  63 26 13 34
 388  7  64 26 13 32
 389  7  65 26 13 28
 390  7  66 26 13 26
 391  7  67 26 13 24
 392  7  68 26  7 22
 393  7  69 26  7 20
 394  7  70 26  7 16
 395  7  71 26  7 12
 396  7  72 26  7 10
 397  7  73 26  7  4
 398  7  74 26  7  2
 399  7  75 26  7  0
 400  7  76 26  3 39
 401  7  77 25  3 46
 402  7  78 25  3 44
 403  7  79 25  3 42
 404  7  80 25  3 38
 405  8   1 26  3 27
 406  8   2 25  3 69
 407  8   3 25  3 65
 408  8   4 25  3 63
 409  8   5 25  3 61
 410  8   6 25  3 59
 411  8   7 25  3 57
 412  8   8 25  3 53
 413  8   9 25  8 71
 414  8  10 25  8 67
 415  8  11 25  8 65
 416  8  12 25  8 61
 417  8  13 25  8 59
 418  8  14 25  8 57
 419  8  15 25  8 53
 420  8  16 25 15 20
 421  8  17 27 14 69
 422  8  18 27 14 65
 423  8  19 27 14 63
 424  8  20 27 14 61
 425  8  21 27 14 59
 426  8  22 27 14 55
 427  8  23 27 14 51
 428  8  24 27 10 21
 429  8  25 27 10 17
 430  8  26 27 10 15
 431  8  27 27 10 11
 432  8  28 27 10  9
 433  8  29 27 10  7
 434  8  30 27 10  3
 435  8  31 27 14 26
 436  8  32 27  3 67
 437  8  33 27  3 65
 438  8  34 27  3 63
 439  8  35 27  3 59
 440  8  36 27  3 57
 441  8  37 27  3 53
 442  8  38 27  3 49
 443  8  39 28  3 67
 444  8  40 28  3 65
 445  8  41 28  3 61
 446  8  42 28  3 59
 447  8  43 28  3 57
 448  8  44 28  3 55
 449  8  45 28  3 51
 450  8  46 28  3 32
 451  8  47 28  8 19
 452  8  48 28  8 17
 453  8  49 28  8 15
 454  8  50 28  8 11
 455  8  51 28  8  9
 456  8  52 28  8  5
 457  8  53 28 15 71
 458  8  54 28 15 67
 459  8  55 28 15 65
 460  8  56 28 15 61
 461  8  57 28 15 59
 462  8  58 28 15 57
 463  8  59 28 15 55
 464  8  60 28 15 51
 465  8  61 26 13 69
 466  8  62 26 13 65
 467  8  63 26 13 63
 468  8  64 26 13 59
 469  8  65 26 13 57
 470  8  66 26 13 53
 471  8  67 26 13 49
 472  8  68 26  7 43
 473  8  69 26  7 41
 474  8  70 26  7 39
 475  8  71 26  7 35
 476  8  72 26  7 33
 477  8  73 26  7 31
 478  8  74 26  7 27
 479  8  75 26  3 45
 480  8  76 26  3 41
 481  8  77 26  3 37
 482  8  78 26  3 35
 483  8  79 26  3 33
 484  8  80 26  3 31
 485  9   1 26  3 25
 486  9   2 25  3 71
 487  9   3 25  3 67
 488  9   4 25  3 66
 489  9   5 25  3 62
 490  9   6 25  3 58
 491  9   7 25  3 54
 492  9   8 25  3 55
 493  9   9 25  3 51
 494  9  10 25  3 49
 495  9  11 25  8 69
 496  9  12 25  8 66
 497  9  13 25  8 63
 498  9  14 25  8 60
 499  9  15 25  8 56
 500  9  16 25  8 52
 501  9  17 25  8 51
 502  9  18 25  8 49
 503  9  19 27 14 71
 504  9  20 27 14 67
 505  9  21 27 14 66
 506  9  22 27 14 62
 507  9  23 27 14 58
 508  9  24 27 14 57
 509  9  25 27 14 52
 510  9  26 27 14 53
 511  9  27 27 14 49
 512  9  28 27 10 19
 513  9  29 27 10 18
 514  9  30 27 10 14
 515  9  31 27 10 13
 516  9  32 27 10  8
 517  9  33 27 10  4
 518  9  34 27 10  5
 519  9  35 27 10  1
 520  9  36 27  3 71
 521  9  37 27  3 69
 522  9  38 27  3 66
 523  9  39 27  3 62
 524  9  40 27  3 58
 525  9  41 27  3 54
 526  9  42 27  3 55
 527  9  43 27  3 51
 528  9  44 28  3 71
 529  9  45 28  3 69
 530  9  46 28  3 66
 531  9  47 28  3 63
 532  9  48 28  3 60
 533  9  49 28  3 56
 534  9  50 28  3 52
 535  9  51 28  3 53
 536  9  52 28  3 49
 537  9  53 28  8 23
 538  9  54 28  8 21
 539  9  55 28  8 18
 540  9  56 28  8 14
 541  9  57 28  8 10
 542  9  58 28  8  6
 543  9  59 28  8  7
 544  9  60 28  8  3
 545  9  61 28  8  1
 546  9  62 28 15 69
 547  9  63 28 15 66
 548  9  64 28 15 63
 549  9  65 28 15 60
 550  9  66 28 15 56
 551  9  67 28 15 54
 552  9  68 28 15 53
 553  9  69 28 15 49
 554  9  70 26 13 71
 555  9  71 26 13 67
 556  9  72 26 13 66
 557  9  73 26 13 62
 558  9  74 26 13 58
 559  9  75 26 13 54
 560  9  76 26 13 55
 561  9  77 26 13 51
 562  9  78 26  7 47
 563  9  79 26  7 45
 564  9  80 26  7 42
 565  9  81 26  7 38
 566  9  82 26  7 37
 567  9  83 26  7 32
 568  9  84 26  7 30
 569  9  85 26  7 29
 570  9  86 26  7 25
 571  9  87 26  3 47
 572  9  88 26  3 43
 573  9  89 26  3 40
 574  9  90 26  3 36
 575  9  91 26  3 32
 576  9  92 26  3 30
 577  9  93 26  3 29
 578 10   1 25  4 11
 579 10   2 25  3 70
 580 10   3 25  3 68
 581 10   4 25  3 64
 582 10   5 25  3 60
 583 10   6 25  3 56
 584 10   7 25  3 52
 585 10   8 25  3 50
 586 10   9 25  3 48
 587 10  10 25  8 70
 588 10  11 25  8 68
 589 10  12 25  8 64
 590 10  13 25  8 62
 591 10  14 25  8 58
 592 10  15 25  8 54
 593 10  16 25  8 50
 594 10  17 25  8 48
 595 10  18 25 15 43
 596 10  19 27 14 70
 597 10  20 27 14 68
 598 10  21 27 14 64
 599 10  22 27 14 60
 600 10  23 27 14 56
 601 10  24 27 14 54
 602 10  25 27 14 50
 603 10  26 27 14 48
 604 10  27 27 10 22
 605 10  28 27 10 20
 606 10  29 27 10 16
 607 10  30 27 10 12
 608 10  31 27 10 10
 609 10  32 27 10  6
 610 10  33 27 10  2
 611 10  34 27 10  0
 612 10  35 27  8  7
 613 10  36 27  3 70
 614 10  37 27  3 68
 615 10  38 27  3 64
 616 10  39 27  3 60
 617 10  40 27  3 56
 618 10  41 27  3 52
 619 10  42 27  3 50
 620 10  43 27  3 48
 621 10  44 28  3 70
 622 10  45 28  3 68
 623 10  46 28  3 64
 624 10  47 28  3 62
 625 10  48 28  3 58
 626 10  49 28  3 54
 627 10  50 28  3 50
 628 10  51 28  3 48
 629 10  52 28  6 17
 630 10  53 28  8 22
 631 10  54 28  8 20
 632 10  55 28  8 16
 633 10  56 28  8 12
 634 10  57 28  8  8
 635 10  58 28  8  4
 636 10  59 28  8  2
 637 10  60 28  8  0
 638 10  61 28 15 70
 639 10  62 28 15 68
 640 10  63 28 15 64
 641 10  64 28 15 62
 642 10  65 28 15 58
 643 10  66 28 15 52
 644 10  67 28 15 50
 645 10  68 28 15 48
 646 10  69 28 16  7
 647 10  70 26 13 70
 648 10  71 26 13 68
 649 10  72 26 13 64
 650 10  73 26 13 60
 651 10  74 26 13 56
 652 10  75 26 13 52
 653 10  76 26 13 50
 654 10  77 26 13 48
 655 10  78 26  7 46
 656 10  79 26  7 44
 657 10  80 26  7 40
 658 10  81 26  7 36
 659 10  82 26  7 34
 660 10  83 26  7 28
 661 10  84 26  7 26
 662 10  85 26  7 24
 663 10  86 26  3 46
 664 10  87 26  3 44
 665 10  88 26  3 42
 666 10  89 26  3 38
 667 10  90 26  3 34
 668 10  91 26  3 28
 669 10  92 26  3 26
 670 10  93 26  3 24
 671 11   1 25  4 13
 672 11   2 25  4  9
 673 11   3 25  4  7
 674 11   4 25  4  5
 675 11   5 25  4  1
 676 11   6 25  6 21
 677 11   7 25  6 19
 678 11   8 25  6 15
 679 11   9 25  6 11
 680 11  10 25  6  9
 681 11  11 25  6  7
 682 11  12 25  6  3
 683 11  13 25  9 23
 684 11  14 25  9 19
 685 11  15 25  9 17
 686 11  16 25  9 13
 687 11  17 25  9 11
 688 11  18 25  9  9
 689 11  19 25  9  5
 690 11  20 25  9  1
 691 11  21 25 15 45
 692 11  22 25 15 41
 693 11  23 25 15 39
 694 11  24 25 15 35
 695 11  25 25 15 33
 696 11  26 25 15 31
 697 11  27 25 15 27
 698 11  28 27 15 23
 699 11  29 27 15 19
 700 11  30 27 15 15
 701 11  31 27 15 13
 702 11  32 27 15 11
 703 11  33 27 15  9
 704 11  34 27 15  5
 705 11  35 27 15  1
 706 11  36 27  8 21
 707 11  37 27  8 17
 708 11  38 27  8 15
 709 11  39 27  8 13
 710 11  40 27  8  9
 711 11  41 27  8  5
 712 11  42 27  8  3
 713 11  43 27  4 23
 714 11  44 27  4 19
 715 11  45 27  4 17
 716 11  46 27  4 13
 717 11  47 27  4  9
 718 11  48 27  4  7
 719 11  49 27  4  3
 720 11  50 28  4 23
 721 11  51 28  4 19
 722 11  52 28  4 17
 723 11  53 28  4 15
 724 11  54 28  4 11
 725 11  55 28  4  9
 726 11  56 28  4  7
 727 11  57 28  4  3
 728 11  58 28  6 23
 729 11  59 28  6 19
 730 11  60 28  6 15
 731 11  61 28  6 13
 732 11  62 28  6 11
 733 11  63 28  6  9
 734 11  64 28  6  5
 735 11  65 28  6  1
 736 11  66 28  8 45
 737 11  67 28  8 41
 738 11  68 28  8 39
 739 11  69 28  8 37
 740 11  70 28  8 33
 741 11  71 28  8 31
 742 11  72 28  8 27
 743 11  73 28 16 23
 744 11  74 28 16 19
 745 11  75 28 16 17
 746 11  76 28 16 15
 747 11  77 28 16 13
 748 11  78 28 16  9
 749 11  79 28 16  5
 750 11  80 28 16  3
 751 11  81 26 14 23
 752 11  82 26 14 19
 753 11  83 26 14 17
 754 11  84 26 14 13
 755 11  85 26 14 11
 756 11  86 26 14  9
 757 11  87 26 14  5
 758 11  88 26 14  3
 759 11  89 26  9 23
 760 11  90 26  9 19
 761 11  91 26  9 15
 762 11  92 26  9 13
 763 11  93 26  9 11
 764 11  94 26  9  9
 765 11  95 26  9  5
 766 11  96 26  9  1
 767 11  97 26  5 21
 768 11  98 26  5 17
 769 11  99 26  5 15
 770 11 100 26  5 11
 771 11 101 26  5  9
 772 11 102 26  5  5
 773 11 103 26  5  3
 774 11 104 25  4 23
 775 11 105 25  4 19
 776 11 106 25  4 17
 777 12   1 25  4 12
 778 12   2 25  4  6
 779 12   3 25  4  4
 780 12   4 25  4  3
 781 12   5 25  6 23
 782 12   6 25  6 20
 783 12   7 25  6 16
 784 12   8 25  6 13
 785 12   9 25  6  8
 786 12  10 25  6  6
 787 12  11 25  6  5
 788 12  12 25  6  1
 789 12  13 25  9 21
 790 12  14 25  9 18
 791 12  15 25  9 15
 792 12  16 25  9 10
 793 12  17 25  9  6
 794 12  18 25  9  7
 795 12  19 25  9  3
 796 12  20 25 15 47
 797 12  21 25 15 42
 798 12  22 25 15 38
 799 12  23 25 15 37
 800 12  24 25 15 32
 801 12  25 25 15 30
 802 12  26 25 15 29
 803 12  27 25 15 25
 804 12  28 27 15 21
 805 12  29 27 15 17
 806 12  30 27 15 14
 807 12  31 27 15 10
 808 12  32 27 15  6
 809 12  33 27 15  7
 810 12  34 27 15  3
 811 12  35 27  8 23
 812 12  36 27  8 19
 813 12  37 27  8 16
 814 12  38 27  8 12
 815 12  39 27  8 11
 816 12  40 27  8  6
 817 12  41 27  8  0
 818 12  42 27  8  1
 819 12  43 27  4 21
 820 12  44 27  4 18
 821 12  45 27  4 15
 822 12  46 27  4 10
 823 12  47 27  4  6
 824 12  48 27  4  5
 825 12  49 27  4  1
 826 12  50 28  4 21
 827 12  51 28  4 20
 828 12  52 28  4 14
 829 12  53 28  4 13
 830 12  54 28  4  8
 831 12  55 28  4  6
 832 12  56 28  4  5
 833 12  57 28  4  1
 834 12  58 28  6 21
 835 12  59 28  6 18
 836 12  60 28  6 14
 837 12  61 28  6 10
 838 12  62 28  6  6
 839 12  63 28  6  7
 840 12  64 28  6  3
 841 12  65 28  8 47
 842 12  66 28  8 43
 843 12  67 28  8 40
 844 12  68 28  8 36
 845 12  69 28  8 35
 846 12  70 28  8 30
 847 12  71 28  8 29
 848 12  72 28  8 25
 849 12  73 28 16 21
 850 12  74 28 16 20
 851 12  75 28 16 16
 852 12  76 28 16 12
 853 12  77 28 16 11
 854 12  78 28 16  6
 855 12  79 28 16  0
 856 12  80 28 16  1
 857 12  81 26 14 21
 858 12  82 26 14 18
 859 12  83 26 14 15
 860 12  84 26 14 10
 861 12  85 26 14  6
 862 12  86 26 14  7
 863 12  87 26 14  0
 864 12  88 26 14  1
 865 12  89 26  9 21
 866 12  90 26  9 17
 867 12  91 26  9 14
 868 12  92 26  9 10
 869 12  93 26  9  6
 870 12  94 26  9  7
 871 12  95 26  9  3
 872 12  96 26  5 23
 873 12  97 26  5 19
 874 12  98 26  5 16
 875 12  99 26  5 12
 876 12 100 26  5  6
 877 12 101 26  5  7
 878 12 102 26  5  0
 879 12 103 26  5  1
 880 12 104 25  4 21
 881 12 105 25  4 18
 882 12 106 25  4 15
 883 13   1 25  4 10
 884 13   2 25  4  8
 885 13   3 25  4  2
 886 13   4 25  4  0
 887 13   5 25  4 33
 888 13   6 25  6 22
 889 13   7 25  6 18
 890 13   8 25  6 14
 891 13   9 25  6 12
 892 13  10 25  6 10
 893 13  11 25  6  4
 894 13  12 25  6  2
 895 13  13 25  6  0
 896 13  14 25  9 22
 897 13  15 25  9 20
 898 13  16 25  9 16
 899 13  17 25  9 14
 900 13  18 25  9 12
 901 13  19 25  9  8
 902 13  20 25  9  4
 903 13  21 25  9  2
 904 13  22 25  9  0
 905 13  23 25 15 46
 906 13  24 25 15 44
 907 13  25 25 15 40
 908 13  26 25 15 36
 909 13  27 25 15 34
 910 13  28 25 15 28
 911 13  29 25 15 26
 912 13  30 25 15 24
 913 13  31 27 15 22
 914 13  32 27 15 20
 915 13  33 27 15 18
 916 13  34 27 15 16
 917 13  35 27 15 12
 918 13  36 27 15  8
 919 13  37 27 15  4
 920 13  38 27 15  2
 921 13  39 27 15  0
 922 13  40 27  8 22
 923 13  41 27  8 20
 924 13  42 27  8 18
 925 13  43 27  8 14
 926 13  44 27  8 10
 927 13  45 27  8  8
 928 13  46 27  8  4
 929 13  47 27  8  2
 930 13  48 27  8 35
 931 13  49 27  4 22
 932 13  50 27  4 20
 933 13  51 27  4 16
 934 13  52 27  4 14
 935 13  53 27  4 12
 936 13  54 27  4  8
 937 13  55 27  4  4
 938 13  56 27  4  2
 939 13  57 27  4  0
 940 13  58 28  4 22
 941 13  59 28  4 18
 942 13  60 28  4 16
 943 13  61 28  4 12
 944 13  62 28  4 10
 945 13  63 28  4  4
 946 13  64 28  4  2
 947 13  65 28  4  0
 948 13  66 28  6 45
 949 13  67 28  6 22
 950 13  68 28  6 20
 951 13  69 28  6 16
 952 13  70 28  6 12
 953 13  71 28  6  8
 954 13  72 28  6  4
 955 13  73 28  6  2
 956 13  74 28  6  0
 957 13  75 28  8 46
 958 13  76 28  8 44
 959 13  77 28  8 42
 960 13  78 28  8 38
 961 13  79 28  8 34
 962 13  80 28  8 32
 963 13  81 28  8 28
 964 13  82 28  8 26
 965 13  83 28  8 24
 966 13  84 28 14 13
 967 13  85 28 16 22
 968 13  86 28 16 18
 969 13  87 28 16 14
 970 13  88 28 16 10
 971 13  89 28 16  8
 972 13  90 28 16  4
 973 13  91 28 16  2
 974 13  92 28 16 35
 975 13  93 26 14 22
 976 13  94 26 14 20
 977 13  95 26 14 16
 978 13  96 26 14 14
 979 13  97 26 14 12
 980 13  98 26 14  8
 981 13  99 26 14  4
 982 13 100 26 14  2
 983 13 101 26 14 29
 984 13 102 26  9 22
 985 13 103 26  9 20
 986 13 104 26  9 18
 987 13 105 26  9 16
 988 13 106 26  9 12
 989 13 107 26  9  8
 990 13 108 26  9  4
 991 13 109 26  9  2
 992 13 110 26  9  0
 993 13 111 26  5 22
 994 13 112 26  5 20
 995 13 113 26  5 18
 996 13 114 26  5 14
 997 13 115 26  5 10
 998 13 116 26  5  8
 999 13 117 26  5  4
1000 13 118 26  5  2
1001 13 119 26  3 63
1002 13 120 25  4 22
1003 13 121 25  4 20
1004 13 122 25  4 16
1005 13 123 25  4 14
1006 14   1 25  4 45
1007 14   2 25  4 43
1008 14   3 25  4 39
1009 14   4 25  4 37
1010 14   5 25  4 35
1011 14   6 25  4 31
1012 14   7 25  4 27
1013 14   8 25  6 45
1014 14   9 25  6 43
1015 14  10 25  6 39
1016 14  11 25  6 37
1017 14  12 25  6 35
1018 14  13 25  6 33
1019 14  14 25  6 29
1020 14  15 25  6 25
1021 14  16 25  9 45
1022 14  17 25  9 41
1023 14  18 25  9 39
1024 14  19 25  9 35
1025 14  20 25  9 33
1026 14  21 25  9 31
1027 14  22 25  9 27
1028 14  23 25 16 21
1029 14  24 25 16 19
1030 14  25 25 16 15
1031 14  26 25 16 13
1032 14  27 25 16  9
1033 14  28 25 16  7
1034 14  29 25 16  3
1035 14  30 27 15 45
1036 14  31 27 15 43
1037 14  32 27 15 39
1038 14  33 27 15 37
1039 14  34 27 15 35
1040 14  35 27 15 33
1041 14  36 27 15 29
1042 14  37 27 15 25
1043 14  38 27 10 43
1044 14  39 27 10 41
1045 14  40 27 10 39
1046 14  41 27 10 35
1047 14  42 27 10 33
1048 14  43 27 10 29
1049 14  44 27 10 27
1050 14  45 27  8 45
1051 14  46 27  8 41
1052 14  47 27  8 39
1053 14  48 27  8 37
1054 14  49 27  8 33
1055 14  50 27  8 31
1056 14  51 27  8 27
1057 14  52 27  4 45
1058 14  53 27  4 43
1059 14  54 27  4 39
1060 14  55 27  4 37
1061 14  56 27  4 33
1062 14  57 27  4 31
1063 14  58 27  4 27
1064 14  59 28  4 45
1065 14  60 28  4 43
1066 14  61 28  4 41
1067 14  62 28  4 37
1068 14  63 28  4 35
1069 14  64 28  4 33
1070 14  65 28  4 29
1071 14  66 28  4 25
1072 14  67 28  6 43
1073 14  68 28  6 41
